#{"t_start": 1777074974.9201233, "env_id": "None"}
r,l,t
46.0,31,767.104126
239.0,208,768.735954
221.0,174,770.095121
247.0,181,771.582603
430.0,320,789.652383
2.0,14,789.765018
7.0,13,789.864359
250.0,209,791.523201
333.0,270,793.659993
33.0,29,793.885562
91.0,80,794.504315
254.0,154,795.794492
106.0,99,796.626056
146.0,118,797.600432
5.0,11,797.690284
253.0,209,799.358739
214.0,162,800.629798
316.0,251,802.550028
289.0,199,804.063342
224.0,156,820.655786
170.0,146,821.893322
269.0,208,823.653642
48.0,39,823.977751
224.0,178,825.476053
188.0,129,826.577104
29.0,28,826.776757
98.0,106,827.619383
334.0,254,829.619042
165.0,125,830.636273
161.0,141,831.72942
276.0,164,832.972894
373.0,269,835.063122
240.0,169,836.466959
126.0,126,852.924396
115.0,69,853.472899
182.0,174,854.877002
125.0,124,855.833694
298.0,209,857.509992
64.0,39,857.806434
269.0,228,859.62511
120.0,82,860.315854
193.0,135,861.435853
112.0,79,862.087434
167.0,122,863.122405
183.0,171,864.539377
275.0,202,866.283068
199.0,173,867.717204
88.0,83,868.375532
128.0,118,884.954693
94.0,68,885.527663
160.0,115,886.496848
92.0,85,887.296744
49.0,50,887.711464
141.0,110,888.451919
170.0,132,889.425797
277.0,236,890.975504
272.0,232,891.88142
153.0,127,892.251287
260.0,190,892.781696
118.0,90,893.055631
7.0,11,893.092917
98.0,105,893.485506
343.0,274,894.27572
100.0,94,894.834291
305.0,243,912.37176
178.0,107,913.327192
35.0,33,913.591367
104.0,69,914.193201
73.0,53,914.660746
250.0,184,916.151605
115.0,75,916.740434
280.0,184,918.092125
116.0,102,918.919563
111.0,70,919.440632
244.0,167,920.69855
323.0,253,922.435643
231.0,176,923.678965
205.0,170,924.701165
165.0,143,925.308991
53.0,36,925.419863
132.0,102,941.479207
167.0,139,942.729404
259.0,198,944.614408
183.0,155,946.028684
313.0,221,947.676972
381.0,309,948.718781
383.0,266,949.532603
198.0,124,949.887398
164.0,136,950.228902
231.0,151,950.595184
383.0,280,951.306277
191.0,140,966.784671
130.0,101,967.622947
224.0,133,968.639809
267.0,169,970.059804
190.0,153,971.323189
350.0,260,973.367651
130.0,100,974.167115
121.0,96,974.917275
156.0,119,975.822449
91.0,70,976.354336
180.0,106,977.306456
143.0,104,978.31474
315.0,222,980.070774
276.0,183,981.494135
331.0,250,998.761247
138.0,120,999.794537
231.0,171,1001.169162
121.0,90,1001.870574
110.0,65,1002.414268
383.0,287,1004.582578
128.0,99,1005.332109
120.0,103,1006.126559
244.0,228,1007.869337
132.0,103,1008.667083
172.0,100,1009.441737
130.0,90,1010.11763
132.0,87,1010.78052
105.0,72,1011.349604
155.0,113,1012.212259
141.0,81,1012.831862
215.0,145,1029.061293
182.0,115,1030.000779
258.0,179,1031.482986
141.0,111,1032.395088
199.0,143,1033.476247
51.0,31,1033.715028
204.0,120,1034.675434
104.0,86,1035.332927
201.0,139,1036.408803
81.0,65,1036.898933
304.0,275,1038.995667
208.0,152,1040.216476
181.0,152,1041.362146
250.0,178,1042.721012
314.0,266,1044.736191
321.0,206,1059.672979
14.0,20,1059.740948
88.0,65,1060.163018
427.0,294,1062.477419
120.0,95,1063.478908
187.0,149,1064.794065
352.0,214,1066.59317
190.0,133,1067.72247
69.0,53,1068.114858
93.0,78,1068.754708
57.0,42,1069.134124
126.0,102,1070.12033
